Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	117	112
OG0000001	129	129
OG0000002	115	113
OG0000003	92	89
OG0000004	115	115
OG0000005	110	110
OG0000006	95	87
OG0000007	83	80
OG0000008	92	92
OG0000009	90	90
OG0000010	80	79
OG0000011	80	78
OG0000012	79	70
OG0000013	81	80
OG0000014	44	42
OG0000015	74	71
OG0000016	85	85
OG0000017	56	55
OG0000018	76	76
OG0000019	48	29
OG0000020	55	50
OG0000021	40	36
OG0000022	66	65
OG0000023	66	65
OG0000024	65	64
OG0000025	70	70
OG0000026	55	55
OG0000027	63	62
OG0000028	63	62
OG0000029	63	63
OG0000030	66	66
OG0000031	60	55
OG0000032	59	57
OG0000033	66	66
OG0000034	42	40
OG0000035	45	44
OG0000036	64	64
OG0000037	57	57
OG0000038	41	34
OG0000039	56	56
OG0000040	62	62
OG0000041	54	53
OG0000042	40	34
OG0000043	44	42
OG0000044	50	50
OG0000045	56	56
OG0000046	50	50
OG0000047	50	48
OG0000048	54	54
OG0000049	47	46
OG0000050	53	52
OG0000051	44	44
OG0000052	37	33
OG0000053	48	48
OG0000054	42	41
OG0000055	48	48
OG0000056	34	33
OG0000057	47	45
OG0000058	40	39
OG0000059	53	53
OG0000060	53	53
OG0000061	46	44
OG0000062	35	34
OG0000063	36	34
OG0000064	45	45
OG0000065	44	43
OG0000066	35	33
OG0000067	51	51
OG0000068	44	44
OG0000069	38	38
OG0000070	41	41
OG0000071	44	44
OG0000072	44	43
OG0000073	45	45
OG0000074	43	43
OG0000075	44	44
OG0000076	42	41
OG0000077	49	49
OG0000078	47	47
OG0000079	42	42
OG0000080	45	45
OG0000081	30	30
OG0000082	36	36
OG0000083	25	8
OG0000084	20	19
OG0000085	30	28
OG0000086	41	41
OG0000087	39	39
OG0000088	16	10
OG0000089	37	36
OG0000090	25	23
OG0000091	32	30
OG0000092	39	39
OG0000093	39	39
OG0000094	39	39
OG0000095	36	36
OG0000096	26	24
OG0000097	36	36
OG0000098	39	39
OG0000099	30	30
OG0000100	38	38
OG0000101	38	37
OG0000102	35	34
OG0000103	37	37
OG0000104	37	37
OG0000105	28	25
OG0000106	43	43
OG0000107	36	36
OG0000108	25	25
OG0000109	36	36
OG0000110	27	26
OG0000111	35	35
OG0000112	35	35
OG0000113	36	36
OG0000114	35	35
OG0000115	35	35
OG0000116	24	22
OG0000117	35	35
OG0000118	35	28
OG0000119	22	22
OG0000120	31	31
OG0000121	37	37
OG0000122	33	33
OG0000123	35	35
OG0000124	34	34
OG0000125	25	22
OG0000126	39	39
OG0000127	33	33
OG0000128	33	33
OG0000129	33	33
OG0000130	18	16
OG0000131	18	18
OG0000132	24	24
OG0000133	28	27
OG0000134	22	20
OG0000135	24	23
OG0000136	33	33
OG0000137	33	33
OG0000138	39	39
OG0000139	36	36
OG0000140	39	39
OG0000141	39	39
OG0000142	24	22
OG0000143	32	31
OG0000144	29	28
OG0000145	38	38
OG0000146	38	38
OG0000147	23	19
OG0000148	23	23
OG0000149	31	31
OG0000150	30	29
OG0000151	31	31
OG0000152	31	31
OG0000153	27	25
OG0000154	31	31
OG0000155	31	31
OG0000156	33	33
OG0000157	34	34
OG0000158	20	18
OG0000159	18	15
OG0000160	22	22
OG0000161	30	30
OG0000162	31	31
OG0000163	23	20
OG0000164	21	20
OG0000165	30	29
OG0000166	29	29
OG0000167	29	29
OG0000168	21	19
OG0000169	15	11
OG0000170	19	17
OG0000171	23	22
OG0000172	27	27
OG0000173	29	29
OG0000174	29	29
OG0000175	17	16
OG0000176	29	29
OG0000177	29	29
OG0000178	23	22
OG0000179	30	30
OG0000180	28	27
OG0000181	31	31
OG0000182	32	29
OG0000183	28	28
OG0000184	19	17
OG0000185	26	25
OG0000186	32	32
OG0000187	33	33
OG0000188	32	32
OG0000189	34	34
OG0000190	27	27
OG0000191	31	31
OG0000192	27	27
OG0000193	13	9
OG0000194	22	18
OG0000195	27	27
OG0000196	28	28
OG0000197	27	27
OG0000198	27	27
OG0000199	27	27
OG0000200	27	27
OG0000201	22	20
OG0000202	27	27
OG0000203	27	26
OG0000204	24	24
OG0000205	30	30
OG0000206	33	33
OG0000207	26	26
OG0000208	26	26
OG0000209	21	21
OG0000210	29	29
OG0000211	26	26
OG0000212	22	22
OG0000213	24	24
OG0000214	26	26
OG0000215	27	27
OG0000216	25	22
OG0000217	26	26
OG0000218	22	22
OG0000219	20	16
OG0000220	27	27
OG0000221	27	27
OG0000222	29	28
OG0000223	31	31
OG0000224	32	32
OG0000225	19	19
OG0000226	26	26
OG0000227	25	25
OG0000228	25	25
OG0000229	25	25
OG0000230	18	17
OG0000231	25	25
OG0000232	25	25
OG0000233	18	16
OG0000234	26	26
OG0000235	19	19
OG0000236	25	25
OG0000237	25	25
OG0000238	25	25
OG0000239	25	25
OG0000240	28	28
OG0000241	31	31
OG0000242	31	31
OG0000243	24	24
OG0000244	24	24
OG0000245	24	24
OG0000246	19	19
OG0000247	25	25
OG0000248	20	20
OG0000249	15	12
OG0000250	24	24
OG0000251	17	17
OG0000252	24	24
OG0000253	25	25
OG0000254	24	23
OG0000255	18	18
OG0000256	14	12
OG0000257	19	18
OG0000258	24	24
OG0000259	24	24
OG0000260	30	30
OG0000261	30	30
OG0000262	23	23
OG0000263	22	22
OG0000264	21	21
OG0000265	17	17
OG0000266	23	23
OG0000267	23	23
OG0000268	14	14
OG0000269	22	21
OG0000270	23	23
OG0000271	23	23
OG0000272	23	23
OG0000273	24	24
OG0000274	23	23
OG0000275	23	23
OG0000276	23	23
OG0000277	17	17
OG0000278	23	23
OG0000279	19	19
OG0000280	22	22
OG0000281	23	23
OG0000282	25	25
OG0000283	17	17
OG0000284	20	20
OG0000285	29	29
OG0000286	23	21
OG0000287	27	27
OG0000288	24	22
OG0000289	23	21
OG0000290	28	28
OG0000291	28	28
OG0000292	26	26
OG0000293	29	29
OG0000294	22	22
OG0000295	22	22
OG0000296	19	19
OG0000297	22	22
OG0000298	22	21
OG0000299	21	20
OG0000300	23	23
OG0000301	18	17
OG0000302	22	22
OG0000303	22	22
OG0000304	23	23
OG0000305	22	22
OG0000306	22	22
OG0000307	28	28
OG0000308	20	20
OG0000309	16	16
OG0000310	17	17
OG0000311	21	21
OG0000312	21	21
OG0000313	21	21
OG0000314	15	14
OG0000315	12	11
OG0000316	24	24
OG0000317	21	21
OG0000318	10	10
OG0000319	15	15
OG0000320	20	20
OG0000321	20	20
OG0000322	20	20
OG0000323	20	20
OG0000324	16	16
OG0000325	21	21
OG0000326	21	21
OG0000327	21	21
OG0000328	21	21
OG0000329	14	14
OG0000330	21	21
OG0000331	21	21
OG0000332	21	21
OG0000333	14	11
OG0000334	19	19
OG0000335	19	19
OG0000336	21	21
OG0000337	24	24
OG0000338	24	24
OG0000339	24	23
OG0000340	27	27
OG0000341	27	27
OG0000342	27	27
OG0000343	27	27
OG0000344	27	27
OG0000345	20	20
OG0000346	18	18
OG0000347	21	21
OG0000348	20	20
OG0000349	21	21
OG0000350	15	9
OG0000351	8	6
OG0000352	20	19
OG0000353	20	20
OG0000354	20	20
OG0000355	8	8
OG0000356	19	19
OG0000357	13	13
OG0000358	20	20
OG0000359	24	24
OG0000360	20	20
OG0000361	21	21
OG0000362	23	22
OG0000363	17	16
OG0000364	20	20
OG0000365	20	20
OG0000366	20	20
OG0000367	18	18
OG0000368	21	21
OG0000369	26	26
OG0000370	19	19
OG0000371	16	14
OG0000372	18	18
OG0000373	20	20
OG0000374	17	17
OG0000375	14	13
