Number of species	7
Number of genes	137318
Number of genes in orthogroups	121331
Number of unassigned genes	15987
Percentage of genes in orthogroups	88.4
Percentage of unassigned genes	11.6
Number of orthogroups	15409
Number of species-specific orthogroups	3590
Number of genes in species-specific orthogroups	15477
Percentage of genes in species-specific orthogroups	11.3
Mean orthogroup size	7.9
Median orthogroup size	7.0
G50 (assigned genes)	10
G50 (all genes)	9
O50 (assigned genes)	3571
O50 (all genes)	4446
Number of orthogroups with all species present	5164
Number of single-copy orthogroups	1390
Date	2025-09-08
Orthogroups file	Orthogroups.tsv
Unassigned genes file	Orthogroups_UnassignedGenes.tsv
Per-species statistics	Statistics_PerSpecies.tsv
Overall statistics	Statistics_Overall.tsv
Orthogroups shared between species	Orthogroups_SpeciesOverlaps.tsv

Average number of genes per-species in orthogroup	Number of orthogroups	Percentage of orthogroups	Number of genes	Percentage of genes
<1	7303	47.4	25444	21.0
'1	6320	41.0	55343	45.6
'2	1094	7.1	17734	14.6
'3	347	2.3	8098	6.7
'4	155	1.0	4740	3.9
'5	71	0.5	2694	2.2
'6	38	0.2	1702	1.4
'7	30	0.2	1562	1.3
'8	10	0.1	578	0.5
'9	12	0.1	788	0.6
'10	9	0.1	651	0.5
11-15	14	0.1	1260	1.0
16-20	6	0.0	737	0.6
21-50	0	0.0	0	0.0
51-100	0	0.0	0	0.0
101-150	0	0.0	0	0.0
151-200	0	0.0	0	0.0
201-500	0	0.0	0	0.0
501-1000	0	0.0	0	0.0
'1001+	0	0.0	0	0.0

Number of species in orthogroup	Number of orthogroups
1	3590
2	1970
3	1116
4	549
5	763
6	2257
7	5164
